id,jesuit,first_vows_date,first_vows_place,first_vows_celebrant,last_vows_date,last_vows_place,last_vows_celebrant,degree
424,2378,,,,2006-02-28,,,
423,2377,,,,1959-02-02,,,
422,2367,,,,2006-07-31,,,
421,2362,,,,2001-08-15,,,
420,2359,,,,1966-02-02,,,
419,2358,,,,2020-10-03,,,
418,2355,,,,2022-11-14,,,
417,2348,,,,2014-10-04,,,
416,2343,,,,2014-03-19,,,
415,2342,,,,2022-10-19,,,
414,2339,,,,2020-10-03,,,
413,2331,,,,1977-11-01,,,
412,2328,,,,2021-09-27,,,
411,2326,,,,1991-04-22,,,
410,2324,,,,2020-12-03,,,
409,2322,,,,1980-02-09,,,
408,2321,,,,1973-08-12,,,
407,2318,,,,1980-05-19,,,
406,2317,,,,1976-04-20,,,
405,2316,,,,2004-10-10,,,
404,2315,,,,2005-12-03,,,
403,2311,,,,2002-10-30,,,
402,2310,,,,2013-08-15,,,
401,2305,,,,2019-08-15,,,
400,2300,,,,1971-06-21,,,
399,2296,,,,2005-12-24,,,
398,2284,,,,1991-02-02,,,
397,2274,,,,1998-05-29,,,
396,2273,,,,2013-04-27,,,
395,2271,,,,2012-06-10,,,
394,2270,,,,2004-10-31,,,
393,2269,,,,2005-12-17,,,
392,2268,,,,2018-10-04,,,
391,2264,,,,1974-04-21,,,
390,2257,,,,2020-09-27,,,
389,2256,,,,2022-12-03,,,
388,2255,,,,2022-09-27,,,
387,2253,,,,2022-12-03,,,
386,2248,,,,1964-03-08,,,
385,2246,,,,1976-04-25,,,
384,2245,,,,2021-05-16,,,
383,2240,,,,2019-11-24,,,
382,2239,,,,2010-03-25,,,
381,2237,,,,2020-09-27,,,
380,2235,,,,2013-12-03,,,
379,2234,,,,1973-02-02,,,
378,2232,,,,2020-10-03,,,
377,2231,,,,1967-02-12,,,
376,2230,,,,1988-03-12,,,
375,2229,,,,1974-02-02,,,
374,2228,,,,2011-09-08,,,
373,2224,,,,2012-07-31,,,
372,2215,,,,2022-09-27,,,
371,2213,,,,2022-10-19,,,
370,2204,,,,2019-12-03,,,
369,2195,,,,2018-12-08,,,
368,2185,,,,2000-07-15,,,
367,2180,,,,2009-07-31,,,
366,2179,,,,1971-08-15,,,
365,2169,,,,2015-10-03,,,
364,2168,,,,2011-02-22,,,
363,2160,,,,1977-12-03,,,
362,2154,,,,2020-10-31,,,
361,2152,,,,2009-09-26,,,
360,2148,,,,2013-07-31,,,
359,2145,,,,2016-09-08,,,
358,2142,,,,2011-10-30,,,
357,2140,,,,2004-10-10,,,
356,2139,,,,2006-12-31,,,
355,2128,,,,1969-08-19,,,
354,2127,,,,1976-10-19,,,
353,2121,,,,2016-07-31,,,
352,2120,,,,1980-03-02,,,
351,2119,,,,1970-02-02,,,
350,2118,,,,1977-12-08,,,
349,2117,,,,1994-08-15,,,
348,2112,,,,1970-02-02,,,
347,2099,,,,2020-10-03,,,
346,2098,,,,1991-04-21,,,
345,2096,,,,2006-01-22,,,
344,2095,,,,2012-06-16,,,
343,2089,,,,1995-08-20,,,
342,2078,,,,2020-09-27,,,
341,2076,,,,1974-04-21,,,
340,2069,,,,2016-07-31,,,
339,2064,,,,2004-07-31,,,
338,2062,,,,2014-08-15,,,
337,2061,,,,2022-09-27,,,
336,2055,,,,2009-12-03,,,
335,2052,,,,2007-06-09,,,
